x,y
683.5,344
1152.0,988
681.5,345
1143.5,985
678.0,344
1137.0,981
674.5,343
1135.5,978
673.5,342
1129.0,977
670.0,341
1119.0,976
668.0,341
1113.0,975
665.5,341
1094.0,974
663.0,340
1070.0,973
659.5,344
1052.5,973
658.5,340
1028.5,971
661.0,340
1010.0,970
668.5,340
1010.5,971
669.0,340
988.0,968
668.0,339
966.0,966
671.5,339
959.0,965
673.0,340
938.5,966
677.0,339
909.5,966
682.0,339
897.0,966
686.0,339
880.0,971
696.0,340
857.5,973
700.0,340
853.0,972
700.5,340
839.5,967
705.5,340
820.0,966
711.0,341
812.0,970
715.5,341
797.5,974
724.0,342
786.5,973
727.0,343
776.0,974
730.5,342
754.0,973
736.0,342
737.5,972
742.5,342
732.0,973
745.0,342
726.0,973
748.0,341
720.0,972
755.5,340
718.5,970
763.5,341
702.5,962
771.0,340
696.5,954
782.5,339
698.0,950
785.0,338
695.5,943
792.5,337
690.5,937
802.5,338
681.5,938
805.5,338
670.5,936
811.0,338
653.5,936
821.5,338
648.0,936
827.0,338
641.5,937
835.5,338
627.0,935
843.0,338
622.5,934
844.0,338
613.0,934
848.5,338
606.0,936
851.5,339
603.0,936
855.0,337
593.5,936
872.0,338
585.0,939
881.5,339
583.0,939
885.5,339
579.0,939
902.5,340
578.0,940
904.5,339
579.5,939
909.0,339
582.5,937
918.0,338
586.0,933
927.5,338
589.5,929
934.0,339
598.0,930
948.0,340
605.5,933
960.0,341
608.0,933
972.5,341
614.5,937
981.5,342
618.0,939
984.5,341
618.5,939
989.0,340
618.5,940
1002.5,338
618.5,939
1011.5,340
619.5,940
1020.0,341
623.5,939
1027.5,343
628.5,937
1036.5,343
631.5,934
1042.5,342
639.5,929
1053.0,342
646.5,927
1061.5,344
651.0,928
1065.0,346
662.0,931
1071.5,345
669.5,934
1077.5,345
671.0,936
1079.5,345
671.0,940
1083.5,345
672.5,940
1089.5,344
672.5,940
1091.5,345
671.5,940
1096.5,344
671.0,939
1102.0,343
669.5,939
1104.0,343
668.0,935
1109.5,343
667.0,933
1111.0,342
666.5,933
1110.5,341
663.5,933
1114.0,340
661.0,932
1107.5,339
661.5,931
1108.0,340
664.5,930
1114.0,341
666.0,926
1113.5,340
666.0,926
1113.5,340
660.5,925
1110.5,340
658.0,924
1107.5,340
655.5,924
1103.5,341
650.0,924
1098.0,340
646.5,925
1094.5,341
642.5,925
1091.5,339
636.0,925
1085.5,338
627.0,924
1080.5,337
629.0,924
1078.5,336
627.5,922
1072.5,336
628.5,921
1067.5,335
629.5,921
1063.0,336
630.5,919
1058.5,336
628.5,918
1056.0,336
628.0,917
1055.5,336
627.5,916
1053.0,337
631.0,910
1047.5,337
635.5,904
1043.5,337
641.5,899
1033.5,336
648.0,898
1026.0,336
1022.0,336
649.0,897
649.5,896
1010.5,338
1001.0,338
650.5,896
996.5,340
648.0,896
991.5,340
647.0,894
648.0,891
987.5,339
647.0,889
987.0,339
647.0,886
983.5,339
649.0,882
987.0,341
646.5,880
985.0,341
642.5,880
975.5,340
640.0,880
962.0,338
642.0,881
957.0,338
645.0,881
949.0,338
648.0,881
941.5,338
649.0,881
936.5,337
656.0,880
928.5,339
663.5,879
916.5,339
670.5,879
911.0,339
682.0,881
906.0,339
698.0,882
900.0,347
705.5,883
893.0,338
714.5,886
885.5,339
